# Метеостанция Роттердам / Зестинховен (аэропорт), Нидерланды, WMO_ID=6344, выборка с 19.02.2019 по 19.03.2019, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru 
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=6344&lang=ru
#
"Местное время в Роттердаме / Зестинховене (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"19.03.2019 23:00";"7.2";"773.2";"772.7";"0.6";"84";"Ветер, дующий с юга";"2";"3";"3";"60%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"60%.";"1000-1500";"";"";"35.0";"4.7";"Осадков нет";"1";"";"";"";"";
"19.03.2019 22:00";"8.2";"773.1";"772.7";"0.8";"82";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"30.0";"5.3";"Осадков нет";"1";"";"";"";"";
"19.03.2019 21:00";"8.0";"773.1";"772.6";"1.2";"83";"Ветер, дующий с юга";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"1000-1500";"";"";"40.0";"5.3";"Осадков нет";"1";"";"";"";"";
"19.03.2019 20:00";"7.0";"772.6";"772.3";"0.9";"81";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"45.0";"4.0";"Осадков нет";"1";"";"";"";"";
"19.03.2019 19:00";"8.4";"772.3";"771.8";"0.7";"75";"Ветер, дующий с западо-юго-запада";"3";"4";"7";"100%.";"Состояние неба в общем не изменилось. ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"";"12.1";"";"";"2500 или более, или облаков нет.";"";"";"45.0";"4.2";"Осадков нет";"12";"";"";"";"";
"19.03.2019 18:00";"10.0";"771.9";"771.4";"0.2";"70";"Ветер, дующий с запада";"4";"";"";"100%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"100%.";"2000-2500";"";"";"40.0";"4.7";"Осадков нет";"1";"";"";"";"";
"19.03.2019 17:00";"10.7";"771.7";"771.3";"-0.1";"62";"Ветер, дующий с западо-юго-запада";"4";"";"";"90  или более, но не 100%";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"90  или более, но не 100%";"2000-2500";"";"";"35.0";"3.7";"Осадков нет";"1";"";"";"";"";
"19.03.2019 16:00";"11.7";"771.6";"771.1";"-0.2";"62";"Ветер, дующий с западо-юго-запада";"4";"";"";"20–30%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"20–30%.";"1000-1500";"";"";"28.0";"4.6";"Осадков нет";"1";"";"";"";"";
"19.03.2019 15:00";"11.7";"771.7";"771.2";"0.0";"62";"Ветер, дующий с западо-юго-запада";"4";"";"";"Облаков нет.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"24.0";"4.7";"Осадков нет";"1";"";"";"";"";
"19.03.2019 14:00";"10.0";"771.8";"771.4";"0.1";"74";"Ветер, дующий с запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"30.0";"5.5";"Осадков нет";"1";"";"";"";"";
